time,open,high,low,close,volume
2025-03-12 07:00:00,15.1,17.9,15.0,17.9,628
2025-03-14 07:00:00,18.0,18.0,15.0,16.0,6307
2025-03-17 07:00:00,18.0,18.0,18.0,18.0,372
2025-03-18 07:00:00,18.0,18.0,15.3,16.0,1200
2025-03-19 07:00:00,14.1,14.2,14.0,14.0,2943
2025-03-20 07:00:00,16.0,16.0,14.3,15.1,1271
2025-03-21 07:00:00,14.5,14.7,14.4,14.7,1700
2025-03-24 07:00:00,14.9,14.9,14.9,14.9,500
2025-03-25 07:00:00,13.3,13.5,13.3,13.5,1068
2025-03-26 07:00:00,13.4,13.4,13.4,13.5,2
2025-03-27 07:00:00,13.4,13.4,13.4,13.4,5010
2025-03-28 07:00:00,14.3,14.3,13.5,13.5,2000
2025-03-31 07:00:00,14.0,14.0,14.0,14.0,200
2025-04-01 07:00:00,14.0,16.1,14.0,15.5,1843
2025-04-02 07:00:00,15.0,15.0,15.0,15.5,3
2025-04-03 07:00:00,13.1,13.1,12.8,12.8,1612
2025-04-04 07:00:00,12.5,12.5,12.4,12.4,1303
2025-04-08 07:00:00,12.5,12.5,12.4,12.4,1505
2025-04-09 07:00:00,11.0,12.8,11.0,12.8,1000
2025-04-10 07:00:00,13.5,14.1,13.5,14.0,3822
2025-04-11 07:00:00,14.0,14.1,14.0,14.0,6801
2025-04-15 07:00:00,12.0,14.0,12.0,12.8,1600
2025-04-16 07:00:00,11.3,12.9,11.3,12.9,3402
2025-04-17 07:00:00,12.9,13.7,12.6,13.7,1421
2025-04-18 07:00:00,12.6,13.0,12.5,13.0,3800
2025-04-21 07:00:00,12.7,12.7,12.2,12.2,9015
2025-04-22 07:00:00,11.2,12.3,11.2,11.5,9114
2025-04-23 07:00:00,12.0,12.5,12.0,12.5,5300
2025-04-24 07:00:00,12.3,12.3,12.3,12.3,107
2025-04-25 07:00:00,12.0,12.0,11.0,11.7,10015
2025-04-28 07:00:00,12.0,12.0,11.7,11.7,11800
2025-04-29 07:00:00,11.7,11.7,11.7,11.7,2
2025-05-05 07:00:00,11.5,11.5,11.5,11.5,1000
2025-05-06 07:00:00,11.5,11.5,11.0,11.5,6000
2025-05-07 07:00:00,11.5,11.5,11.5,11.5,1000
2025-05-08 07:00:00,11.5,11.5,11.5,11.5,700
2025-05-09 07:00:00,11.5,11.5,11.5,11.5,1000
2025-05-12 07:00:00,11.5,11.8,11.5,11.8,3400
2025-05-13 07:00:00,11.7,11.7,10.8,10.8,1100
2025-05-14 07:00:00,11.0,11.8,11.0,11.8,5100
2025-05-15 07:00:00,12.0,12.1,12.0,12.0,13600
2025-05-16 07:00:00,12.0,12.0,12.0,12.0,1100
2025-05-19 07:00:00,12.0,12.0,12.0,12.0,500
2025-05-20 07:00:00,13.5,13.5,12.7,12.7,4300
2025-05-21 07:00:00,11.6,11.6,11.5,11.5,6500
2025-05-22 07:00:00,11.5,12.3,11.5,12.3,1300
2025-05-23 07:00:00,12.2,12.2,11.1,11.1,200
2025-05-26 07:00:00,12.9,12.9,11.7,11.7,800
2025-05-27 07:00:00,11.8,11.9,11.8,11.9,7300
2025-05-28 07:00:00,11.8,11.9,11.8,11.9,4000
2025-05-30 07:00:00,11.9,12.0,11.8,12.0,5000
2025-06-02 07:00:00,11.9,11.9,11.8,11.9,400
2025-06-03 07:00:00,11.9,12.0,11.8,12.0,4400
2025-06-04 07:00:00,12.0,12.0,11.8,11.9,1500
2025-06-05 07:00:00,11.8,11.8,11.7,11.7,800
2025-06-06 07:00:00,12.5,12.5,12.5,12.5,100
2025-06-09 07:00:00,12.5,12.5,12.2,12.2,300
2025-06-11 07:00:00,11.8,11.8,11.8,11.8,1700
2025-06-12 07:00:00,11.2,11.2,11.0,11.0,1600
2025-06-13 07:00:00,11.0,11.1,10.1,10.2,8600
2025-06-16 07:00:00,10.1,10.1,10.1,10.1,5300
2025-06-17 07:00:00,10.1,10.1,10.0,10.1,8800
2025-06-18 07:00:00,11.2,11.2,10.5,10.5,7600
2025-06-19 07:00:00,11.0,11.0,10.3,10.3,1300
2025-06-20 07:00:00,10.2,10.2,10.1,10.2,12100
2025-06-23 07:00:00,10.2,11.2,10.2,11.2,6400
2025-06-24 07:00:00,10.3,10.3,10.3,10.3,5000
2025-06-25 07:00:00,10.1,10.1,9.6,10.0,1000
2025-06-26 07:00:00,9.9,9.9,9.3,9.3,5700
